country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,name,policy.description
Singapore,Countervailing And Anti-Dumping Duties Act 1996,ICT products,Since November 1996 last amended in December 2021,https://sso.agc.gov.sg/Act/CADDA1996,Traditional trade policies,South-East Asia,Sectoral,Tariffs & trade defence,Trade defence measures
Singapore,"Telecommunications Act (Chapter 323, Section 74)Telecommunications (Dealers) Regulations",Telecommunication equipments,Since 2004 last amended in 2023,https://sso.agc.gov.sg/SL/TA1999-RG6?DocDate=20230829&ProvIds=Sc3-#Sc3,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Import bans
Singapore,"Telecommunications Act (Chapter 323, Section 74)Telecommunications (Dealers) Regulations",Telecommunication equipments,Since 2004 last amended in 2023,https://sso.agc.gov.sg/SL/TA1999-RG6?DocDate=20230829&ProvIds=Sc3-#Sc3,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Singapore,Manufacture Of Optical Discs Act,Mastering equipment and replication equipment ,Since 2004 last amended in 2020,https://importlicensing.wto.org/content/optical-disc-mastering-and-replication-equipment-1,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Telecommunication equipments/Mastering equipment and replication equipment ,"Since December 1995, last amended in 2024/Since December 1995 last amended in 2024",https://www.imda.gov.sg/regulations-and-licensing-listing/equipment-registration,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Cross-cutting,Since December 1995 last amended in2024,https://sso.agc.gov.sg/SL/RIEA1995-RG1,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Local content requirements
Singapore,Strategic Goods Control Act 2002,Cross-cutting,"Since January 2003, last amended in December 2021",https://www.customs.gov.sg/businesses/exporting-goods/controlled-and-prohibited-goods-for-export,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Cross-cutting,Since December 1995 last amended in 2024,https://sso.agc.gov.sg/SL/RIEA1995-RG1,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Singapore,Strategic Goods Control Order 2024,Cross-cutting,Since October 2024,https://sso.agc.gov.sg/Act/SGCA2002,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Singapore,Enterprise Singapore Board Act 2018,Cross-cutting,Since April 2018 amended in 2020,https://sso.agc.gov.sg/Act/ESBA2018,Traditional trade policies,South-East Asia,Cross-cutting,Standards & procedures,Technical standard issues
