Economy,Pillar_ID,Indicator_ID,Act_and_or_practice,Law_Number_Ref,Last_Amended,Coverage,Article_Section,Discovery_Tag,Location_Reference,Verbatim_Snippet,Mapping_Rationale,Impact_or_comments,Timeframe,References,Confidence
Singapore,7,7.1,Personal Data Protection Act 2012,Act 26 of 2012,2020,Cross-cutting,Section 3,KNOWN,Section 3,"The purpose of this Act is to govern the collection, use and disclosure of personal data by organisations in a manner that recognises both the right of individuals to protect their personal data and the need of organisations to collect, use or disclose personal data for purposes that a reasonable person would consider appropriate in the circumstances.","This provision sets out the fundamental purpose of the Act, establishing a comprehensive data protection framework that governs the collection, use, and disclosure of personal data across the private sector. It balances individual privacy rights with organisational needs, serving as the statutory foundation for the Act's extensive regime covering consent, data subject rights, data breach notification, and enforcement mechanisms.","Section 3: The purpose of this Act is to govern the collection, use and disclosure of personal data by organisations in a manner that recognises both the right of individuals to protect their personal data and the need of organisations to collect, use or disclose personal data for purposes that a reasonable person would consider appropriate in the circumstances.
Interpretation: This provision sets out the fundamental purpose of the Act, establishing a comprehensive data protection framework that governs the collection, use, and disclosure of personal data across the private sector. It balances individual privacy rights with organisational needs, serving as the statutory foundation for the Act's extensive regime covering consent, data subject rights, data breach notification, and enforcement mechanisms.",Since 2012; Last amended 2020,https://laws.sg/legislation/personal-data-protection-act-2012,
Singapore,7,7.1,Personal Data Protection Act 2012,No. 26 of 2012,,Cross-cutting,Section 3,KNOWN,p. 12,"The purpose of this Act is to govern the collection, use and disclosure of personal data by organisations in a manner that recognises both the right of individuals to protect their personal data and the need of organisations to collect, use or disclose personal dataforpurposesthatareasonablepersonwouldconsiderappropriate in the circumstances.","This provision establishes the foundational purpose of the Act, creating a comprehensive data protection framework that balances individual privacy rights with organisational needs. It mandates the governance of personal data collection, use, and disclosure, setting the stage for detailed statutory obligations regarding consent, access, correction, and enforcement mechanisms.","Section 3: The purpose of this Act is to govern the collection, use and disclosure of personal data by organisations in a manner that recognises both the right of individuals to protect their personal data and the need of organisations to collect, use or disclose personal dataforpurposesthatareasonablepersonwouldconsiderappropriate in the circumstances.
Interpretation: This provision establishes the foundational purpose of the Act, creating a comprehensive data protection framework that balances individual privacy rights with organisational needs. It mandates the governance of personal data collection, use, and disclosure, setting the stage for detailed statutory obligations regarding consent, access, correction, and enforcement mechanisms.",Not specified in text,https://sso.agc.gov.sg/Act/PDPA2012,
Singapore,7,7.1,Personal Data Protection (Amendment) Act 2020,No. 40 of 2020,2020,Cross-cutting,Long Title,KNOWN,p. 2,An Act to amend the Personal Data Protection Act 2012 (Act 26 of 2012) and to make consequential and related amendments to certain other Acts.,"This Act amends the Personal Data Protection Act 2012, which serves as Singapore's comprehensive data protection framework. The amendments significantly expand and strengthen the existing framework by introducing mandatory data breach notification, data portability rights, and enhanced enforcement and financial penalty mechanisms.","Long Title: An Act to amend the Personal Data Protection Act 2012 (Act 26 of 2012) and to make consequential and related amendments to certain other Acts.
Interpretation: This Act amends the Personal Data Protection Act 2012, which serves as Singapore's comprehensive data protection framework. The amendments significantly expand and strengthen the existing framework by introducing mandatory data breach notification, data portability rights, and enhanced enforcement and financial penalty mechanisms.",Since 1 February 2021; Last amended 2020,https://sso.agc.gov.sg/Acts-Supp/40-2020/,
Singapore,7,7.2,Cybersecurity Act 2018,Act CA 2018,2021,Cross-cutting,Section 5,KNOWN,Section 5,"The Commissioner has the following duties and functions:
(a)
to oversee and promote the cybersecurity of computers and computer systems in Singapore;
(b)
to advise the Government or any other public authority on national needs and policies in respect of cybersecurity matters generally;
(c)
to monitor cybersecurity threats, whether such cybersecurity threats occur in or outside Singapore;
(d)
to respond to cybersecurity incidents that threaten the national security, defence, economy, foreign relations, public health, public order or public safety, or any essential services, of Singapore, whether such cybersecurity incidents occur in or outside Singapore;
(e)
to identify and designate critical information infrastructure, and to regulate owners of critical information infrastructure with regard to the cybersecurity of the critical information infrastructure;
(f)
to establish cybersecurity codes of practice and standards of performance for implementation by owners of critical information infrastructure;","This provision establishes a dedicated, cross-cutting cybersecurity framework by empowering the Commissioner of Cybersecurity to oversee national cybersecurity, designate and regulate Critical Information Infrastructure (CII), and mandate codes of practice and performance standards. It forms the statutory basis for security measures, incident response, and CII protection across all essential sectors in Singapore.","Section 5: The Commissioner has the following duties and functions:
(a)
to oversee and promote the cybersecurity of computers and computer systems in Singapore;
(b)
to advise the Government or any other public authority on national needs and policies in respect of cybersecurity matters generally;
(c)
to monitor cybersecurity threats, whether such cybersecurity threats occur in or outside Singapore;
(d)
to respond to cybersecurity incidents that threaten the national security, defence, economy, foreign relations, public health, public order or public safety, or any essential services, of Singapore, whether such cybersecurity incidents occur in or outside Singapore;
(e)
to identify and designate critical information infrastructure, and to regulate owners of critical information infrastructure with regard to the cybersecurity of the critical information infrastructure;
(f)
to establish cybersecurity codes of practice and standards of performance for implementation by owners of critical information infrastructure;
Interpretation: This provision establishes a dedicated, cross-cutting cybersecurity framework by empowering the Commissioner of Cybersecurity to oversee national cybersecurity, designate and regulate Critical Information Infrastructure (CII), and mandate codes of practice and performance standards. It forms the statutory basis for security measures, incident response, and CII protection across all essential sectors in Singapore.",Since 2018; Last amended December 2021,https://laws.sg/legislation/cybersecurity-act-2018,
Singapore,7,7.2,Computer Misuse Act 1993,Act CMA 1993,2018,Cross-cutting,Section 3(1),KNOWN,Section 3,"Subject to subsection (2), any person who knowingly causes a computer to perform any function for the purpose of securing access without authority to any program or data held in any computer shall be guilty of an offence and shall be liable on conviction — (a) to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 2 years or to both; and (b) in the case of a second or subsequent conviction, to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 3 years or to both.","This provision establishes the foundational computer misuse offence by criminalising unauthorised access to computer material, which forms a core component of a dedicated cybersecurity framework. By penalising unauthorised access, the law provides a baseline legal mechanism to protect computer systems and data from cyber threats and intrusions.","Section 3(1): Subject to subsection (2), any person who knowingly causes a computer to perform any function for the purpose of securing access without authority to any program or data held in any computer shall be guilty of an offence and shall be liable on conviction — (a) to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 2 years or to both; and (b) in the case of a second or subsequent conviction, to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 3 years or to both.
Interpretation: This provision establishes the foundational computer misuse offence by criminalising unauthorised access to computer material, which forms a core component of a dedicated cybersecurity framework. By penalising unauthorised access, the law provides a baseline legal mechanism to protect computer systems and data from cyber threats and intrusions.",Since 1993; Last amended 2018,https://laws.sg/legislation/computer-misuse-act-1993,
Singapore,7,7.2,Cybersecurity Act 2018,Act 9 of 2018,,Cross-cutting,"Second Schedule, paragraph 1",KNOWN,Second Schedule,1. The following cybersecurity services are licensable cybersecurity services for the purposes of this Act: (a) managed security operations centre (SOC) monitoring service; (b) penetration testing service.,"This provision forms part of the dedicated national cybersecurity framework by establishing a licensing regime for critical cybersecurity services, specifically managed security operations centre monitoring and penetration testing. It ensures that entities providing these specialized security services are regulated to maintain national cybersecurity standards.","Second Schedule, paragraph 1: 1. The following cybersecurity services are licensable cybersecurity services for the purposes of this Act: (a) managed security operations centre (SOC) monitoring service; (b) penetration testing service.
Interpretation: This provision forms part of the dedicated national cybersecurity framework by establishing a licensing regime for critical cybersecurity services, specifically managed security operations centre monitoring and penetration testing. It ensures that entities providing these specialized security services are regulated to maintain national cybersecurity standards.",Since March 2018; Last amended Not specified in text,https://sso.agc.gov.sg/Acts-Supp/9-2018/?ProvIds=Sc2-#Sc2-,
Singapore,7,7.3,Personal Data Protection Act 2012,Act 26 of 2012,2020,Cross-cutting,Section 50(4),KNOWN,Section 50(4),An organisation must retain records relating to an investigation under this section for one year after the conclusion of the investigation or any longer period specified in writing by the Commission.,"This provision establishes a minimum data retention period of one year for records relating to an investigation conducted under the Act, or longer if specified by the Commission. This ensures that organizations preserve investigation-related records for regulatory oversight and potential enforcement actions, creating a mandatory retention floor that operates alongside the general data minimization principles.","Section 50(4): An organisation must retain records relating to an investigation under this section for one year after the conclusion of the investigation or any longer period specified in writing by the Commission.
Interpretation: This provision establishes a minimum data retention period of one year for records relating to an investigation conducted under the Act, or longer if specified by the Commission. This ensures that organizations preserve investigation-related records for regulatory oversight and potential enforcement actions, creating a mandatory retention floor that operates alongside the general data minimization principles.",Since 2012; Last amended 2020,https://laws.sg/legislation/personal-data-protection-act-2012,
Singapore,7,7.3,Personal Data Protection Act 2012,No. 26 of 2012,,Cross-cutting,Section 50(4),KNOWN,p. 45,An organisation shall retain records relating to an investigation under this section for one year after the conclusion of the investigation or any longer period specified in writing by the Commission.,"This provision imposes a minimum data retention period of one year for records relating to an investigation conducted under the Act. It ensures that organizations preserve relevant documentation for at least a year post-investigation to facilitate potential reviews, appeals, or further regulatory actions.","Section 50(4): An organisation shall retain records relating to an investigation under this section for one year after the conclusion of the investigation or any longer period specified in writing by the Commission.
Interpretation: This provision imposes a minimum data retention period of one year for records relating to an investigation conducted under the Act. It ensures that organizations preserve relevant documentation for at least a year post-investigation to facilitate potential reviews, appeals, or further regulatory actions.",Not specified in text,https://sso.agc.gov.sg/Act/PDPA2012,
Singapore,7,7.3,Personal Data Protection (Amendment) Act 2020,Act 40 of 2020,2020,Cross-cutting,Section 22A(1),KNOWN,,"22A. —(1) Where —
(a) an individual, on or after the date of commencement of section 11 of the Personal Data Protection (Amendment) Act 2020, makes a request under section 21(1)(a) to an organisation to provide personal data about the individual that is in the possession or under the control of the organisation; and
(b) the organisation refuses to provide that personal data,
the organisation must preserve, for not less than the prescribed period, a copy of the personal data concerned.",This provision requires organisations to preserve a copy of personal data for not less than the prescribed period when an individual's access request is refused. It establishes a conditional minimum data retention period to ensure the data is available for potential review or dispute resolution regarding the refusal.,"Section 22A(1): 22A. —(1) Where —
(a) an individual, on or after the date of commencement of section 11 of the Personal Data Protection (Amendment) Act 2020, makes a request under section 21(1)(a) to an organisation to provide personal data about the individual that is in the possession or under the control of the organisation; and
(b) the organisation refuses to provide that personal data,
the organisation must preserve, for not less than the prescribed period, a copy of the personal data concerned.
Interpretation: This provision requires organisations to preserve a copy of personal data for not less than the prescribed period when an individual's access request is refused. It establishes a conditional minimum data retention period to ensure the data is available for potential review or dispute resolution regarding the refusal.",Since February 2021; Last amended November 2020,https://sso.agc.gov.sg/Acts-Supp/40-2020/,
Singapore,7,7.3,Licence to Provide Facilities-Based Operations Granted by the Info-communications Media Development Authority to Singapore Telecommunications Limited under Section 5 of the Telecommunications Act (Chapter 323),,2019,Sectoral: Telecommunications,"Schedule C, Condition 5.3",KNOWN,"Schedule C, Condition 5.3",All data records shall be kept by the Licensee for a period of not less than twelve (12) calendar months.,This provision mandates a minimum data retention period of twelve calendar months for all data records associated with International Simple Resale services. It establishes a sector-specific record-keeping obligation for telecommunications licensees to ensure data availability for regulatory and law enforcement inspection.,"Schedule C, Condition 5.3: All data records shall be kept by the Licensee for a period of not less than twelve (12) calendar months.
Interpretation: This provision mandates a minimum data retention period of twelve calendar months for all data records associated with International Simple Resale services. It establishes a sector-specific record-keeping obligation for telecommunications licensees to ensure data availability for regulatory and law enforcement inspection.",Since April 1992; Last amended January 2019,https://www.imda.gov.sg/regulations-and-licences/licensing/list-of-telecommunication-and-postal-service-licensees/-/media/Imda/Files/Regulation-Licensing-and-Consultations/Licensing/Licensees/FBO/SingTelLtd.pdf,
